Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
272,2,5,5,2,3,3,3,3,-0.523,-0.77,-0.359,0,0.951,0.684,1,0,1
273,9,5,1,3,2,5,3,5,-1.074,-0.864,-0.731,0,-0.554,0.335,1,0,0
274,4,3,2,3,3,5,2,2,-0.345,0,-0.11,-0.546,-0.951,-0.335,0,0,0
275,4,5,3,3,3,5,5,5,-0.345,-0.169,-0.61,-1.036,0.554,1.059,2,1,1
276,5,3,3,3,2,5,3,2,0,-1.074,-0.223,0.871,0.182,0,0,0,1
277,4,4,5,1,1,5,3,5,-0.169,0.376,-0.3,-0.585,1.393,0.335,2,1,1
278,3,3,3,3,4,1,1,1,-0.532,0,0,-0.149,-0.951,-0.684,,,
279,1,5,5,1,1,2,4,4,-0.169,0.181,-0.115,0.327,-0.554,-0.335,1,0,1
280,4,3,2,1,2,5,5,5,0,0,-0.288,-0.327,0.182,0.335,1,0,1
281,4,3,1,2,1,3,4,2,-0.376,0.77,0.381,-0.47,-0.951,-0.335,2,1,1
282,3,5,3,5,5,2,4,1,0,0.376,0.213,0,-0.951,-0.335,2,1,1
283,4,2,3,1,3,5,3,1,0.181,-0.406,-0.247,0.17,-0.554,-0.684,,,
284,4,3,2,2,3,1,5,1,-0.406,0.231,0.328,-0.149,-0.951,-0.684,2,1,
285,4,2,2,3,3,3,4,2,-0.406,-0.197,0.141,-0.327,-0.951,-1.059,2,1,
286,5,3,2,3,2,3,3,3,0.345,-0.181,0,0.17,-0.951,-1.059,0,0,
287,5,4,3,2,2,5,3,4,0,-0.406,-1.165,1.336,-0.554,1.059,0,0,1
288,3,4,3,2,1,3,3,1,-0.345,-1.453,-0.234,-0.406,-0.182,0,1,0,0
289,3,4,1,2,2,5,3,1,0,0.197,0,-0.149,-0.951,-1.059,2,1,1
290,2,4,3,3,4,5,3,3,-0.169,-0.345,-0.323,-0.37,0.182,0.335,0,0,1
291,5,5,2,3,2,3,3,5,-0.169,-0.77,-0.424,0.499,0.182,1.059,0,0,1
292,5,4,1,3,2,3,3,3,0,-0.169,-0.566,1.162,-0.951,-0.684,,,
293,5,3,4,3,1,5,5,4,0,0.575,-0.11,-0.181,0.554,1.059,1,0,1
294,1,5,4,2,1,5,2,4,-0.77,-0.575,-0.786,0,-0.554,0.684,1,0,0
295,2,5,5,5,2,5,3,5,0,-0.169,-0.684,0.159,0.554,0.335,0,0,0
296,4,2,2,2,1,5,5,1,0,-0.376,0,1.036,0.182,-1.059,1,0,0
297,5,5,3,2,2,5,4,5,0.169,-0.376,-0.941,1.036,0.554,1.059,1,0,0
298,5,5,3,3,2,5,4,2,-0.169,0,-0.652,-0.382,-0.951,-0.335,1,0,1
299,4,4,5,3,4,5,4,1,-0.864,0,-0.763,0.307,-0.554,0.335,1,0,1
300,5,3,2,1,1,2,2,5,0.864,0.197,-0.401,-0.499,-1.393,-0.335,1,0,
301,4,3,2,2,5,3,4,5,-0.181,-0.523,-0.115,0,-0.182,-1.482,0,0,0
302,3,4,3,3,3,5,4,1,-0.77,-0.406,-0.658,0.181,-0.554,0.335,1,0,0
303,4,4,4,3,4,3,4,2,-0.345,-0.169,-0.515,0.287,-0.182,0.684,1,0,0
304,3,5,3,5,1,3,5,1,-0.77,-0.345,-0.097,-0.633,-0.554,0,1,0,1
305,5,3,3,2,2,5,1,1,0,-0.575,-0.652,-0.546,-1.393,0.335,1,0,0
306,1,3,2,3,4,5,5,2,-1.074,-0.376,-0.731,-0.307,-0.951,-0.335,0,0,0
307,5,4,3,3,2,5,3,5,-0.575,-0.376,-1.868,0.499,0.182,0.335,1,0,0
308,5,4,1,5,2,5,3,4,-0.523,-1.074,-1.056,0.929,-0.554,0.335,1,0,0
309,5,4,4,5,1,5,4,5,1.453,0,-0.197,-0.327,-0.182,0.684,2,1,1
310,3,5,3,5,4,2,5,4,0.345,0.345,-0.824,-0.871,-0.554,0.335,2,1,0
311,4,3,3,2,1,2,3,5,0,0.231,-0.359,-0.546,-0.182,0.684,1,0,1
312,2,5,5,5,3,5,2,5,-0.523,-0.376,-0.786,-0.738,-0.182,0.335,1,0,1
313,3,3,2,3,2,2,5,1,-0.575,0.532,-0.127,-0.738,0.182,0.684,1,0,1
314,5,3,1,5,2,2,2,4,0.695,-0.864,-0.849,0.181,0.182,1.059,,,1
315,5,4,2,3,1,3,5,3,-0.169,-0.376,-0.652,0.693,0.554,0.684,1,0,1
316,5,5,3,3,5,2,5,5,0,-0.376,-0.535,0.871,-0.951,0,1,0,0
317,5,4,3,3,3,2,3,4,0.169,-0.77,0,0,-0.554,0,1,0,1
318,5,5,3,1,1,5,3,5,-1.074,-0.345,-0.684,-0.436,-0.554,-0.335,1,0,1
319,3,4,4,2,4,5,3,1,-0.77,-1.074,-0.652,-0.499,-0.554,0.684,0,0,1
320,5,3,1,2,2,2,3,2,0.77,0,-0.603,0.181,-0.554,0.684,,,1
321,3,3,2,2,3,2,4,5,0.77,0,-0.515,0.47,0.554,0.684,1,0,1
322,4,4,3,3,1,3,3,1,-0.376,-0.169,-0.19,0.436,-0.951,0,,,1
323,5,4,4,3,2,5,5,2,0.77,-0.197,-0.498,-0.181,0.554,0.684,2,1,1
324,3,4,4,2,1,5,2,1,0,0,0,-0.618,0.182,1.059,1,0,1
325,1,5,3,3,2,5,4,5,0.345,0.575,-0.222,-0.181,-0.182,0,0,0,1
326,5,2,1,2,1,2,5,1,-1.453,-0.197,-0.543,0.929,0.182,0.335,1,0,0
327,4,5,5,3,4,3,3,1,-0.345,-1.074,-0.915,0.929,0.182,1.059,1,0,0
328,2,4,3,5,5,3,3,2,-0.695,0.406,0,0.406,-0.182,-1.059,0,0,1
329,1,4,2,4,5,5,5,3,0.532,-0.575,0.507,-0.327,-0.951,-0.684,1,0,
330,2,4,2,3,2,3,3,5,0.169,-0.169,-0.3,-0.327,-0.951,-0.684,2,1,
331,2,5,2,1,2,2,5,3,-1.074,-1.074,-0.991,0.159,-0.182,-0.684,1,0,0
332,4,5,4,3,3,5,4,3,0.169,-0.169,-0.61,-0.304,0.182,-0.335,1,0,1
333,3,4,3,5,2,5,9,2,-0.169,-0.695,-0.247,-0.327,-1.393,-0.335,2,1,1
334,2,5,3,3,4,3,3,2,0,-0.575,-0.61,-0.546,0.182,0,1,0,1
335,4,4,3,3,2,5,5,1,0.345,0,-1.014,-1.162,0.951,0.335,2,1,1
336,4,4,5,2,3,3,3,1,0.169,-1.074,-0.328,-0.37,0.951,1.059,,,0
337,4,5,4,3,1,5,2,1,-0.345,-0.169,-0.328,0.141,1.393,0,1,0,1
338,2,3,3,2,2,5,5,1,-1.074,-0.77,-0.401,-0.47,-0.951,0,1,0,0
339,4,4,5,2,2,5,3,1,-0.376,-0.77,-0.856,0.141,1.393,1.059,1,0,1
340,4,4,3,2,2,5,3,3,0.181,0.77,0.105,0,-0.182,0.684,,,
341,2,3,3,2,3,5,3,1,0,-0.169,-0.408,-0.149,0.951,1.482,0,0,0
342,5,5,4,5,2,5,3,1,-0.406,-0.406,-0.574,-0.149,1.393,1.059,0,0,0
343,3,3,2,2,2,3,3,1,0,-0.169,-0.726,0.149,0.951,1.059,1,0,0
344,3,3,4,2,1,5,3,1,-1.074,-0.345,-0.34,-0.618,1.393,1.059,1,0,1
345,4,4,3,2,2,2,3,2,0,-0.523,-0.105,0.327,0.951,0,,,
346,3,5,5,2,3,5,4,1,-0.864,-1.453,-0.891,0.37,0.554,1.059,0,0,0
347,2,4,4,5,2,5,3,5,-0.575,-0.575,-0.489,-0.499,-0.182,0.335,1,0,1
348,3,3,4,2,3,5,3,1,0.345,-0.77,-0.408,0.304,0.951,1.059,2,1,1
349,3,2,1,2,2,2,3,3,-0.864,-0.864,-0.77,0,0.951,0,0,0,0
350,3,5,5,2,3,5,4,1,-0.169,-0.575,-0.566,0.546,1.393,1.059,1,0,0
351,3,4,3,1,2,5,3,3,-0.169,-0.864,-0.206,0.149,0.951,0.684,2,1,1
352,1,4,3,2,2,5,4,5,-1.074,-0.231,-0.731,0.214,0.554,0.335,0,0,1
353,5,5,2,2,2,5,4,1,0,-1.453,-0.468,0.149,1.393,1.059,1,0,1
354,3,4,2,3,2,5,3,1,0,-0.169,-0.314,-0.304,0.554,0.335,1,0,1
355,3,5,3,5,1,5,1,2,-0.345,-0.376,-1.014,-0.929,1.393,0.335,1,0,0
356,2,4,5,3,2,2,3,1,-0.77,0,-0.684,-0.17,0.951,0.684,,,
357,4,5,2,3,1,5,5,2,-0.345,-0.376,-0.856,-0.499,0.554,0.684,1,0,0
358,3,5,2,5,2,5,5,1,0.169,-0.376,-0.507,-0.307,1.393,0.684,2,1,1
359,4,4,5,2,3,5,3,2,-0.523,-0.575,-0.302,0.618,0.554,0.684,1,0,0
360,3,2,2,2,2,2,3,1,-0.345,-1.453,-0.498,0.304,0.951,1.059,0,0,1
361,5,4,3,1,2,3,2,1,0.169,-0.376,-0.328,-0.181,0.951,0.335,0,0,1
362,5,4,2,3,5,5,4,3,0.523,0.231,-0.515,-0.214,0.951,1.059,1,0,1
363,3,4,3,3,2,2,5,5,0.169,-0.345,-0.8,-0.47,0.951,0,1,0,1
364,2,3,3,1,3,5,3,2,0,-0.376,-0.7,0,0.951,1.059,1,0,1
365,4,4,3,5,3,4,5,5,0.575,0.169,-0.448,-0.149,-0.554,-1.059,2,1,1
366,2,5,3,1,5,5,3,1,-0.523,-1.074,0,-0.693,0.182,0.335,1,0,0
367,3,5,3,2,3,5,4,2,-0.169,-0.575,-0.829,1.162,0.554,1.059,1,0,1
368,4,3,4,1,1,5,5,3,0.169,0.345,-0.328,0.327,-1.393,-0.335,0,0,0
369,5,2,3,2,4,5,4,1,0.169,-0.523,-0.408,-0.546,1.393,0.684,2,1,1
370,4,3,3,3,2,5,3,2,0.345,0,-0.489,-0.141,-0.182,-0.335,1,0,0
371,4,4,2,5,3,5,1,1,0.181,0.169,-0.247,-0.327,-0.554,-0.335,2,1,0
372,3,5,5,3,2,3,4,3,-0.169,-0.575,-0.566,0.141,1.393,1.059,1,0,1
373,5,3,4,3,1,5,1,3,-0.864,-0.376,-0.731,0.738,0.554,0.335,1,0,0
374,2,5,5,2,3,5,2,5,-0.575,-1.074,-0.684,-0.693,-0.554,0,0,0,1
375,1,3,2,2,1,5,2,1,0.575,-1.453,-0.74,0.181,0.182,1.482,2,1,1
376,5,4,4,2,2,3,1,3,0.169,-0.376,-0.448,-0.738,0.554,1.482,1,0,1
377,3,2,3,5,2,5,3,1,0,-0.523,-0.515,-0.436,0.951,0.684,1,0,0
378,3,5,3,2,2,3,5,5,-0.345,-0.77,-0.448,-0.149,0.554,0.684,1,0,0
379,5,3,3,1,1,5,4,5,0,-1.074,-0.115,0.287,0.182,0.335,1,0,0
380,2,4,5,2,2,5,4,4,-0.345,-1.453,-0.923,-0.546,1.393,0,1,0,1
381,4,2,5,3,2,5,3,1,-0.169,-0.523,0,0,0.182,0.335,1,0,0
382,4,4,2,3,1,5,2,5,0,-0.523,-0.515,-0.738,1.393,0.684,1,0,0
383,1,5,2,5,1,5,3,2,0.406,0.575,0.346,-0.871,-0.554,0,1,0,0
384,4,2,3,3,1,5,3,2,0,-0.197,-1.056,-0.304,0.554,1.059,,,1
385,3,4,5,2,3,5,3,2,0,-0.77,-0.468,-0.693,0.182,0,,,1
386,4,4,3,1,2,5,4,2,-0.169,0,-0.448,-0.149,0.182,0.684,1,0,1
387,3,4,5,3,2,3,4,3,-0.575,-0.376,-0.34,0.406,0.554,1.059,1,0,1
388,3,5,3,3,2,5,4,4,-0.169,0,-0.645,0,0.951,1.059,1,0,0
389,4,3,2,3,1,5,4,5,0,-0.77,-0.543,-0.499,-0.951,-0.335,1,0,1
390,4,5,2,4,2,3,1,4,-0.345,0.575,0,-0.181,-0.951,-0.684,1,0,0
391,3,5,2,3,2,5,4,1,0.345,-0.575,-0.621,0,0.951,1.059,0,0,0
392,4,5,3,5,2,3,5,5,0,-0.575,-0.881,-0.181,0.554,0,0,0,1
393,5,2,5,3,2,2,4,2,-1.074,-0.77,-0.603,0.618,0.182,0.684,,,0
394,5,5,4,2,1,5,3,4,1.074,-0.197,-0.658,0.546,1.393,1.059,2,1,1
395,2,4,3,5,3,5,2,3,-0.345,-0.77,-0.658,-0.304,1.393,0.335,1,0,0
396,4,4,3,2,1,5,5,1,-0.345,-0.376,-0.247,-0.37,1.393,1.059,,,0
397,5,4,3,3,4,5,3,5,-0.575,-0.77,-0.7,0.304,-0.182,0.335,0,0,1
398,2,5,4,3,2,5,3,5,-0.575,-0.376,-0.468,0.37,-0.951,-0.335,0,0,1
399,5,5,5,5,1,5,3,4,0,-0.376,-0.77,0,0.182,0,0,0,1
400,5,3,2,2,5,3,3,3,0.169,-0.77,-0.408,0.738,1.393,1.482,1,0,0
401,4,4,2,3,5,5,4,3,0,0.406,-0.515,-0.327,0.951,0,1,0,0
402,4,3,3,3,2,5,4,4,0,-0.376,-0.424,-0.499,0.182,1.059,2,1,1
403,4,4,3,2,1,5,5,1,-0.345,-0.376,-0.543,0.214,-0.554,0.684,1,0,1
404,2,4,4,2,5,5,3,1,-1.074,-1.074,-1.291,0.738,-0.554,0.684,1,0,0
405,4,5,3,3,3,5,2,1,-0.169,-0.77,-1.056,-0.159,-0.182,0.684,0,0,0
406,2,2,5,2,3,5,3,5,-1.074,-0.169,-0.141,-1.036,0.182,-0.335,0,0,1
407,4,2,3,2,2,5,2,5,-0.345,-1.453,-1.257,-1.036,0.951,1.059,1,0,1
408,4,3,5,2,2,5,3,4,1.074,0.345,-0.566,-0.738,-0.182,0.335,2,1,1
409,3,3,3,3,2,5,4,4,0.376,-0.523,-0.603,0.738,0.951,0.684,1,0,0
410,4,4,5,5,3,5,3,2,0,-0.77,-1.368,-0.871,1.393,0.684,2,1,0
