Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
64,5,2,4,2,2,2,3,1,0.345,-0.77,-0.359,0,-0.182,-0.684,1,0,0
65,2,4,4,3,1,5,3,5,-0.575,-0.169,-0.408,-0.287,-0.554,0.335,1,0,1
66,1,5,3,3,1,5,2,2,0,-0.197,-0.856,0.871,-0.182,-0.684,0,0,0
67,5,3,4,5,2,5,3,2,-0.523,0,-0.684,-0.382,0.182,0.335,2,1,1
68,5,5,5,3,1,5,3,1,0.575,-0.197,-0.566,-0.141,-0.182,0,2,1,1
69,2,4,5,5,4,5,5,5,0,-0.169,-0.658,-0.499,0.182,1.059,1,0,1
70,4,5,5,3,4,5,5,5,0.77,0.231,-0.127,-0.327,-0.182,0.335,2,1,1
71,5,4,2,4,3,5,4,4,0.197,-0.864,-0.684,-1.162,-0.182,-0.335,1,0,0
72,2,4,2,2,2,3,4,2,0.169,-0.406,1.138,0,-0.554,-1.059,,,1
73,5,3,3,2,1,5,3,4,-0.345,-0.523,-0.941,0.327,-0.951,0.684,1,0,1
74,5,5,3,1,2,5,4,4,-0.345,-0.575,-0.77,-0.159,0.951,0,1,0,1
75,1,5,2,3,2,3,5,5,-0.523,-0.406,-0.856,0.149,0.182,1.059,1,0,0
76,5,5,5,5,2,3,3,1,0.77,-1.074,-0.923,0,0.182,0,0,0,0
77,1,5,5,3,2,5,3,2,0,-0.77,-0.658,0.304,-0.182,0,1,0,1
78,1,5,2,1,2,5,1,1,-0.376,-1.453,-0.441,0.149,-0.182,-0.684,1,0,1
79,4,4,4,1,3,5,4,2,0.523,-0.523,-0.543,-0.149,0.554,1.482,1,0,1
80,4,3,3,3,1,5,4,1,0,-0.77,-0.346,0.546,0.951,1.482,1,0,0
81,2,5,5,5,1,5,4,4,-0.575,-0.575,-0.978,-0.499,1.393,0.684,0,0,0
82,2,5,5,3,2,5,4,1,-0.169,-0.77,0,-0.929,0.554,0.335,0,0,1
83,3,3,3,2,2,5,3,1,0,-0.345,-0.105,0.149,0.554,1.059,1,0,1
84,5,4,5,3,4,5,5,5,0.345,0,-0.346,0.327,-0.182,1.059,1,0,0
85,3,5,5,5,2,3,5,1,-0.181,0.181,-0.226,-0.181,-1.393,0.335,1,0,
86,3,4,3,2,1,3,3,2,0.523,-0.77,-1.489,0.181,1.393,0.335,2,1,0
87,4,4,3,2,3,2,4,5,-0.169,-0.376,-0.684,0.546,-0.182,0.684,2,1,1
88,5,4,3,3,1,5,4,2,0.169,-0.77,-0.856,0.47,-0.182,0.684,1,0,1
89,2,2,4,3,2,3,2,1,0.169,0,-0.731,0.633,-0.554,0.335,0,0,0
90,4,3,2,1,2,5,4,2,-0.169,-0.77,-0.448,-0.181,0.554,0,1,0,1
91,2,4,5,3,3,5,4,2,0.575,-0.376,-0.11,-0.149,0.554,1.059,2,1,1
92,2,2,3,1,1,1,3,1,1.453,1.453,1.653,0.929,-0.554,-1.059,2,1,0
93,3,4,4,3,2,3,4,5,0,-0.575,-0.594,0.17,-0.951,0.684,0,0,1
94,3,4,2,2,2,3,4,1,0.197,0,-0.271,0,-1.393,0,1,0,0
95,5,4,5,2,1,5,3,1,0.77,0.231,-0.223,-0.327,0.554,-0.684,2,1,
96,5,5,5,5,3,3,5,4,0.169,-0.197,-1.138,0.287,0.951,0.684,2,1,1
97,2,5,5,5,2,3,4,5,0,-0.169,0,-0.871,-0.951,-1.059,1,0,
98,2,4,3,2,3,5,3,1,0.406,-0.575,-0.271,0.17,-0.554,-0.684,1,0,1
99,5,5,5,5,5,5,4,5,-0.231,0.345,0.684,0.181,-0.554,-1.482,1,0,
100,4,4,3,5,3,3,5,1,-0.575,-0.197,0.441,0,0.182,0,0,0,1
101,1,4,5,3,4,3,5,3,0,-0.575,-0.424,0.37,0.554,1.059,2,1,0
102,5,4,3,5,1,3,1,5,0.77,-0.376,-0.516,0.436,-0.951,0.684,2,1,1
103,2,3,3,3,1,5,3,1,-0.864,-0.376,-0.226,0.871,-0.951,0.684,0,0,1
104,4,4,3,1,1,5,4,2,0,-0.376,-0.484,0,-0.182,0.335,1,0,1
105,2,4,4,5,1,3,3,1,0.169,-0.376,-0.856,0.37,0.182,0.335,1,0,1
106,3,4,5,3,2,3,4,4,-0.376,-0.181,-0.566,0.37,0.554,0.684,2,1,0
107,2,5,3,1,2,3,2,5,-0.864,0.169,-1.014,0.618,-0.951,0.335,1,0,0
108,2,2,3,2,2,5,3,1,-0.345,-0.77,-0.535,0,0.951,1.059,1,0,0
109,3,5,4,3,3,4,1,3,-0.169,-0.376,-0.786,0.159,-0.182,0,1,0,1
110,3,5,5,3,3,5,3,1,0.169,0.169,-0.515,0.149,-0.182,0.684,1,0,1
111,2,4,4,2,2,5,3,2,0,0,-0.515,-0.287,1.393,0.684,1,0,0
112,2,4,3,2,1,5,3,1,-0.376,0,-0.566,-0.633,0.951,1.059,1,0,1
113,2,5,4,3,2,5,2,5,-0.197,-0.376,-0.197,-0.633,-0.554,0,,,1
114,3,4,5,5,2,3,3,3,-0.197,-0.575,-0.824,-0.406,0.554,1.059,0,0,1
115,1,5,5,2,4,3,2,4,-1.074,-0.77,-0.484,-0.618,0.951,-0.335,,,1
116,3,1,1,2,1,1,1,1,0.532,1.453,1.653,1.696,-0.182,-1.059,2,1,0
117,3,1,1,2,1,1,1,1,0.532,1.453,1.653,1.696,-0.182,-1.059,2,1,0
118,2,5,3,3,2,5,1,1,-0.864,-0.197,-0.543,0.499,0.182,0.684,1,0,1
